"","chromosome","best_score","best_length"
"chr18.3","chr18",0.545454545454545,600000
"chr18.4","chr18",1,400000
"chr18.5","chr18",0.342857142857143,300000
"chr18.6","chr18",0.833333333333333,1100000
"chr18.7","chr18",0.166666666666667,700000
"chr18.8","chr18",1,800000
"chr18.9","chr18",1,1800000
"chr18.10","chr18",1,1400000
"chr18.11","chr18",0.9,800000
"chr18.12","chr18",1,700000
"chr18.13","chr18",0.434782608695652,300000
"chr18.14","chr18",1,700000
"chr18.15","chr18",1,900000
"chr18.16","chr18",1,900000
"chr18.17","chr18",1,1100000
"chr18.18","chr18",0,700000
"chr18.19","chr18",0,1100000
"chr18.20","chr18",0,1700000
"chr18.21","chr18",1,700000
"chr18.22","chr18",1,900000
"chr18.23","chr18",1,2200000
"chr18.24","chr18",0.0909090909090909,1100000
"chr18.25","chr18",1,600000
"chr18.26","chr18",1,600000
"chr18.27","chr18",1,1000000
"chr18.28","chr18",0.666666666666667,700000
"chr18.29","chr18",1,1100000
"chr18.30","chr18",1,1100000
"chr18.31","chr18",1,600000
"chr18.32","chr18",1,800000
"chr18.33","chr18",1,4300000
"chr18.34","chr18",1,1700000
"chr18.35","chr18",1,1600000
"chr18.36","chr18",0.542857142857143,600000
"chr18.37","chr18",1,2100000
"chr18.38","chr18",0.635294117647059,500000
"chr18.39","chr18",1,1100000
"chr18.40","chr18",1,800000
"chr18.41","chr18",1,800000
"chr18.42","chr18",1,1100000
"chr18.43","chr18",1,1600000
"chr18.44","chr18",1,1600000
"chr18.45","chr18",1,1000000
"chr18.46","chr18",1,700000
"chr18.47","chr18",0.857142857142857,1500000
"chr18.48","chr18",1,800000
"chr18.49","chr18",0.0434782608695652,600000
"chr18.50","chr18",1,1000000
"chr18.51","chr18",1,600000
"chr18.52","chr18",1,3100000
"chr18.53","chr18",1,1700000
"chr18.54","chr18",1,1700000
"chr18.55","chr18",1,2100000
"chr18.56","chr18",0.924528301886792,1400000
"chr18.57","chr18",0.0754716981132075,600000
"chr18.58","chr18",1,2200000
"chr18.59","chr18",1,2200000
"chr18.60","chr18",0.569377990430622,300000
"chr18.61","chr18",1,900000
"chr18.62","chr18",NA,NA
"chr18.63","chr18",NA,NA
"chr19.1","chr19",1,500000
"chr19.2","chr19",1,500000
"chr19.3","chr19",1,600000
"chr19.4","chr19",1,500000
"chr19.5","chr19",0.842105263157895,500000
"chr19.6","chr19",1,300000
"chr19.7","chr19",0.892857142857143,300000
"chr19.8","chr19",1,1200000
"chr19.9","chr19",1,1000000
"chr19.10","chr19",1,1200000
"chr19.11","chr19",0.421052631578947,1000000
"chr19.12","chr19",1,700000
"chr19.13","chr19",1,1200000
"chr19.14","chr19",1,600000
"chr19.15","chr19",1,700000
"chr19.16","chr19",1,1100000
"chr19.17","chr19",1,900000
"chr19.18","chr19",1,700000
"chr19.19","chr19",1,1700000
"chr19.20","chr19",0.911111111111111,300000
"chr19.21","chr19",1,900000
"chr19.22","chr19",1,1000000
"chr19.23","chr19",1,1200000
"chr19.24","chr19",1,4400000
"chr19.25","chr19",1,1800000
"chr19.26","chr19",0,2800000
"chr19.27","chr19",1,2200000
"chr19.28","chr19",0.568965517241379,500000
"chr19.29","chr19",1,1000000
"chr19.30","chr19",1,1700000
"chr19.31","chr19",1,600000
"chr19.32","chr19",1,600000
"chr19.33","chr19",1,600000
"chr19.34","chr19",1,700000
"chr19.35","chr19",0,300000
"chr19.36","chr19",1,1200000
"chr19.37","chr19",0.424242424242424,200000
"chr19.38","chr19",0.55,700000
"chr19.39","chr19",1,1300000
"chr19.40","chr19",1,1100000
"chr19.41","chr19",1,800000
"chr19.42","chr19",1,600000
"chr19.43","chr19",1,700000
"chr19.44","chr19",1,600000
"chr19.45","chr19",0,400000
"chr19.46","chr19",0.1875,200000
"chr19.47","chr19",1,700000
"chr19.48","chr19",1,1200000
"chr19.49","chr19",1,400000
"chr19.50","chr19",1,2400000
"chr19.51","chr19",1,1400000
"chr19.52","chr19",1,1500000
"chr19.53","chr19",1,1400000
"chr19.54","chr19",NA,NA
"chr19.55","chr19",NA,NA
"chr19.56","chr19",NA,NA
"chr19.57","chr19",NA,NA
"chr1.1","chr1",0.409090909090909,1100000
"chr1.2","chr1",1,700000
"chr1.3","chr1",1,700000
"chr1.4","chr1",0.476923076923077,500000
"chr1.5","chr1",1,2000000
"chr1.6","chr1",0.651162790697674,700000
"chr1.7","chr1",1,1100000
"chr1.8","chr1",0.931034482758621,400000
"chr1.9","chr1",1,800000
"chr1.10","chr1",1,1100000
"chr1.11","chr1",1,600000
"chr1.12","chr1",1,900000
"chr1.13","chr1",1,600000
"chr1.14","chr1",1,1900000
"chr1.15","chr1",1,1300000
"chr1.16","chr1",0.625,600000
"chr1.17","chr1",1,1300000
"chr1.18","chr1",0.888888888888889,1200000
"chr1.19","chr1",1,600000
"chr1.20","chr1",1,700000
"chr1.21","chr1",1,800000
"chr1.22","chr1",1,500000
"chr1.23","chr1",1,900000
"chr1.24","chr1",1,1100000
"chr1.25","chr1",1,600000
"chr1.26","chr1",1,700000
"chr1.27","chr1",1,800000
"chr1.28","chr1",1,600000
"chr1.29","chr1",1,1400000
"chr1.30","chr1",1,700000
"chr1.31","chr1",1,600000
"chr1.32","chr1",1,1100000
"chr1.33","chr1",0.684210526315789,1200000
"chr1.34","chr1",1,1100000
"chr1.35","chr1",1,500000
"chr1.36","chr1",1,1000000
"chr1.37","chr1",1,1400000
"chr1.38","chr1",0.63716814159292,800000
"chr1.39","chr1",1,800000
"chr1.40","chr1",1,600000
"chr1.41","chr1",0.978494623655914,1300000
"chr1.42","chr1",0.5,600000
"chr1.43","chr1",1,700000
"chr1.44","chr1",1,700000
"chr1.45","chr1",1,700000
"chr1.46","chr1",1,1700000
"chr1.47","chr1",1,2300000
"chr1.48","chr1",1,1000000
"chr1.49","chr1",1,500000
"chr1.50","chr1",1,1200000
"chr1.51","chr1",1,1600000
"chr1.52","chr1",1,1700000
"chr1.53","chr1",1,1900000
"chr1.54","chr1",1,1300000
"chr1.55","chr1",1,900000
"chr1.56","chr1",1,1300000
"chr1.57","chr1",1,700000
"chr1.58","chr1",0.2,700000
"chr1.59","chr1",1,3200000
"chr1.60","chr1",1,800000
"chr1.61","chr1",0.636363636363636,300000
"chr1.62","chr1",1,2100000
"chr1.63","chr1",0.96,600000
"chr1.64","chr1",1,4200000
"chr1.65","chr1",0.795454545454545,1100000
"chr1.66","chr1",1,2300000
"chr1.67","chr1",1,600000
"chr1.68","chr1",1,2500000
"chr1.69","chr1",1,2300000
"chr1.70","chr1",1,1500000
"chr1.71","chr1",0.777777777777778,1000000
"chr1.72","chr1",0.222222222222222,800000
"chr1.73","chr1",1,1500000
"chr1.74","chr1",0.552238805970149,900000
"chr1.75","chr1",0.551724137931034,500000
"chr1.76","chr1",1,1200000
"chr1.77","chr1",1,800000
"chr1.78","chr1",0.96875,800000
"chr1.79","chr1",0.80952380952381,400000
"chr1.80","chr1",1,700000
"chr1.81","chr1",1,1300000
"chr1.82","chr1",1,1700000
"chr1.83","chr1",0.705882352941177,1200000
"chr1.84","chr1",1,1600000
"chr1.85","chr1",1,1200000
"chr1.86","chr1",1,600000
"chr1.87","chr1",1,2000000
"chr1.88","chr1",1,2200000
"chr1.89","chr1",1,1200000
"chr1.90","chr1",0.842105263157895,600000
"chr1.91","chr1",1,600000
"chr1.92","chr1",0.27027027027027,500000
"chr1.93","chr1",0.348837209302326,500000
"chr1.94","chr1",0,500000
"chr1.95","chr1",0.662921348314607,1000000
"chr1.96","chr1",0.84375,500000
"chr1.97","chr1",0.224137931034483,700000
"chr1.98","chr1",0.827586206896552,700000
"chr1.99","chr1",1,1200000
"chr1.100","chr1",0.0588235294117647,1100000
"chr1.101","chr1",0.941176470588235,500000
"chr1.102","chr1",1,600000
"chr1.103","chr1",1,800000
"chr1.104","chr1",1,1300000
"chr1.105","chr1",1,800000
"chr1.106","chr1",0.555555555555556,300000
"chr1.107","chr1",1,700000
"chr1.108","chr1",1,1100000
"chr1.109","chr1",1,300000
"chr1.110","chr1",1,1400000
"chr1.111","chr1",1,800000
"chr1.112","chr1",1,1400000
"chr1.113","chr1",0,900000
"chr1.114","chr1",0,1300000
"chr1.115","chr1",0,1200000
"chr1.116","chr1",0,1000000
"chr1.117","chr1",0,900000
"chr1.118","chr1",0,600000
"chr1.119","chr1",0,1300000
"chr1.120","chr1",0,600000
"chr1.121","chr1",0,1900000
"chr1.122","chr1",0,1500000
"chr1.123","chr1",0,800000
"chr1.124","chr1",0,600000
"chr1.125","chr1",0,1200000
"chr1.126","chr1",0,300000
"chr1.127","chr1",0,1500000
"chr1.128","chr1",0,1300000
"chr1.129","chr1",0,1600000
"chr1.130","chr1",0,800000
"chr1.131","chr1",0,1300000
"chr1.132","chr1",0,1900000
"chr1.133","chr1",0,1400000
"chr1.134","chr1",0.444444444444444,400000
"chr1.135","chr1",1,800000
"chr1.136","chr1",0,700000
"chr1.137","chr1",1,800000
"chr1.138","chr1",0.357142857142857,800000
"chr1.139","chr1",0,400000
"chr1.140","chr1",0,700000
"chr1.141","chr1",1,1000000
"chr1.142","chr1",1,600000
"chr1.143","chr1",0.25531914893617,700000
"chr1.144","chr1",1,3500000
"chr1.145","chr1",1,2600000
"chr1.146","chr1",1,3600000
"chr1.147","chr1",0.76,700000
"chr1.148","chr1",1,1300000
"chr1.149","chr1",1,800000
"chr1.150","chr1",1,1000000
"chr1.151","chr1",1,400000
"chr1.152","chr1",1,800000
"chr1.153","chr1",1,900000
"chr1.154","chr1",1,600000
"chr1.155","chr1",1,600000
"chr1.156","chr1",1,400000
"chr1.157","chr1",1,900000
"chr1.158","chr1",0.807692307692308,900000
"chr1.159","chr1",1,1700000
"chr1.160","chr1",1,300000
"chr1.161","chr1",1,1400000
"chr1.162","chr1",1,1200000
"chr1.163","chr1",0.839285714285714,500000
"chr1.164","chr1",1,1000000
"chr1.165","chr1",1,600000
"chr1.166","chr1",1,900000
"chr1.167","chr1",1,2600000
"chr1.168","chr1",1,1600000
"chr1.169","chr1",1,1000000
"chr1.170","chr1",1,600000
"chr1.171","chr1",1,1000000
"chr1.172","chr1",1,1300000
"chr1.173","chr1",0.935483870967742,700000
"chr1.174","chr1",1,800000
"chr1.175","chr1",0,800000
"chr1.176","chr1",0,300000
"chr1.177","chr1",0.515151515151515,900000
"chr1.178","chr1",0.96875,1200000
"chr1.179","chr1",0.830769230769231,600000
"chr1.180","chr1",0.169230769230769,300000
"chr1.181","chr1",1,800000
"chr1.182","chr1",0.869565217391304,800000
"chr1.183","chr1",0.843478260869565,500000
"chr1.184","chr1",0.857142857142857,1500000
"chr1.185","chr1",1,1100000
"chr1.186","chr1",1,1500000
"chr1.187","chr1",1,600000
"chr1.188","chr1",0.88,1100000
"chr1.189","chr1",1,2300000
"chr1.190","chr1",1,1400000
"chr1.191","chr1",1,1500000
"chr1.192","chr1",1,1300000
"chr1.193","chr1",0.769230769230769,700000
"chr1.194","chr1",1,1600000
"chr1.195","chr1",1,800000
"chr1.196","chr1",1,700000
"chr1.197","chr1",1,600000
"chr1.198","chr1",NA,NA
"chr1.199","chr1",NA,NA
"chr1.200","chr1",NA,NA
"chr1.201","chr1",NA,NA
"chr1.202","chr1",NA,NA
"chr1.203","chr1",NA,NA
"chr1.204","chr1",NA,NA
"chr1.205","chr1",NA,NA
"chr1.206","chr1",NA,NA
"chr1.207","chr1",NA,NA
"chr1.208","chr1",NA,NA
"chr1.209","chr1",NA,NA
"chr20.1","chr20",1,600000
"chr20.2","chr20",1,500000
"chr20.3","chr20",1,600000
"chr20.4","chr20",1,700000
"chr20.5","chr20",1,600000
"chr20.6","chr20",0.782608695652174,300000
"chr20.7","chr20",0.217391304347826,500000
"chr20.8","chr20",1,600000
"chr20.9","chr20",1,600000
"chr20.10","chr20",1,800000
"chr20.11","chr20",1,1800000
"chr20.12","chr20",1,900000
"chr20.13","chr20",1,2800000
"chr20.14","chr20",1,1300000
"chr20.15","chr20",1,1200000
"chr20.16","chr20",1,1600000
"chr20.17","chr20",1,1100000
"chr20.18","chr20",0.764705882352941,600000
"chr20.19","chr20",1,900000
"chr20.20","chr20",1,1400000
"chr20.21","chr20",0.615384615384615,300000
"chr20.22","chr20",1,1600000
"chr20.23","chr20",1,700000
"chr20.24","chr20",1,1400000
"chr20.25","chr20",0.863013698630137,1200000
"chr20.26","chr20",1,800000
"chr20.27","chr20",0,1300000
"chr20.28","chr20",0,700000
"chr20.29","chr20",0,600000
"chr20.30","chr20",0,700000
"chr20.31","chr20",0,600000
"chr20.32","chr20",0,600000
"chr20.33","chr20",0.666666666666667,500000
"chr20.34","chr20",1,700000
"chr20.35","chr20",1,1100000
"chr20.36","chr20",1,1900000
"chr20.37","chr20",0.75,700000
"chr20.38","chr20",1,1600000
"chr20.39","chr20",0.862068965517241,600000
"chr20.40","chr20",1,700000
"chr20.41","chr20",1,1000000
"chr20.42","chr20",1,1100000
"chr20.43","chr20",1,500000
"chr20.44","chr20",0,800000
"chr20.45","chr20",0.818181818181818,400000
"chr20.46","chr20",1,700000
"chr20.47","chr20",1,800000
"chr20.48","chr20",1,2500000
"chr20.49","chr20",1,700000
"chr20.50","chr20",1,600000
"chr20.51","chr20",1,1500000
"chr20.52","chr20",1,1800000
"chr20.53","chr20",1,1300000
"chr20.54","chr20",0.838709677419355,400000
"chr20.55","chr20",1,2000000
"chr20.56","chr20",1,1000000
"chr20.57","chr20",0.888888888888889,600000
"chr20.58","chr20",1,800000
"chr20.59","chr20",NA,NA
"chr20.60","chr20",NA,NA
"chr20.61","chr20",NA,NA
"chr21.1","chr21",1,1800000
"chr21.2","chr21",0,1300000
"chr21.3","chr21",1,1400000
"chr21.4","chr21",1,1700000
"chr21.5","chr21",1,900000
"chr21.6","chr21",1,7300000
"chr21.7","chr21",0.517241379310345,400000
"chr21.8","chr21",0.838235294117647,500000
"chr21.9","chr21",1,2100000
"chr21.10","chr21",1,700000
"chr21.11","chr21",0.891891891891892,400000
"chr21.12","chr21",1,1100000
"chr21.13","chr21",1,700000
"chr21.14","chr21",1,700000
"chr21.15","chr21",1,900000
"chr21.16","chr21",1,600000
"chr21.17","chr21",1,1400000
"chr21.18","chr21",1,700000
"chr21.19","chr21",1,600000
"chr21.20","chr21",1,800000
"chr21.21","chr21",1,1100000
"chr21.22","chr21",1,1600000
"chr21.23","chr21",1,700000
"chr21.24","chr21",1,800000
"chr21.25","chr21",1,700000
"chr21.26","chr21",1,900000
"chr21.27","chr21",1,700000
"chr21.28","chr21",NA,NA
"chr21.29","chr21",NA,NA
"chr21.30","chr21",NA,NA
"chr22.1","chr22",0,700000
"chr22.2","chr22",0.0666666666666667,600000
"chr22.3","chr22",1,700000
"chr22.4","chr22",1,700000
"chr22.5","chr22",1,900000
"chr22.6","chr22",1,1600000
"chr22.7","chr22",1,1000000
"chr22.8","chr22",1,600000
"chr22.9","chr22",1,400000
"chr22.10","chr22",1,800000
"chr22.11","chr22",0,600000
"chr22.12","chr22",1,1200000
"chr22.13","chr22",1,300000
"chr22.14","chr22",1,1100000
"chr22.15","chr22",1,800000
"chr22.16","chr22",1,700000
"chr22.17","chr22",1,1100000
"chr22.18","chr22",1,900000
"chr22.19","chr22",0.806451612903226,600000
"chr22.20","chr22",1,1300000
"chr22.21","chr22",1,2000000
"chr22.22","chr22",1,1000000
"chr22.23","chr22",1,300000
"chr22.24","chr22",1,600000
"chr22.25","chr22",0.894736842105263,400000
"chr22.26","chr22",1,800000
"chr22.27","chr22",1,800000
"chr22.28","chr22",1,800000
"chr22.29","chr22",1,600000
"chr22.30","chr22",1,700000
"chr22.31","chr22",1,1000000
"chr22.32","chr22",1,600000
"chr22.33","chr22",1,1600000
"chr22.34","chr22",1,2400000
"chr22.35","chr22",1,1300000
"chr22.36","chr22",0.803418803418803,1200000
"chr22.37","chr22",0.196581196581197,1200000
"chr22.38","chr22",NA,NA
"chr22.39","chr22",NA,NA
"chr22.40","chr22",NA,NA
"chr22.41","chr22",NA,NA
"chr22.42","chr22",NA,NA
"chr22.43","chr22",NA,NA
"chr2.1","chr2",1,1800000
"chr2.2","chr2",1,2000000
"chr2.3","chr2",1,3200000
"chr2.4","chr2",1,1200000
"chr2.5","chr2",0,700000
"chr2.6","chr2",1,1400000
"chr2.7","chr2",1,1100000
"chr2.8","chr2",1,1900000
"chr2.9","chr2",1,700000
"chr2.10","chr2",1,1800000
"chr2.11","chr2",0.967741935483871,1000000
"chr2.12","chr2",1,1400000
"chr2.13","chr2",1,400000
"chr2.14","chr2",1,2700000
"chr2.15","chr2",1,1400000
"chr2.16","chr2",1,1200000
"chr2.17","chr2",0.882352941176471,300000
"chr2.18","chr2",1,800000
"chr2.19","chr2",1,400000
"chr2.20","chr2",1,800000
"chr2.21","chr2",1,1100000
"chr2.22","chr2",1,1100000
"chr2.23","chr2",1,1000000
"chr2.24","chr2",1,3100000
"chr2.25","chr2",1,1700000
"chr2.26","chr2",0,400000
"chr2.27","chr2",0,600000
"chr2.28","chr2",1,1900000
"chr2.29","chr2",0.975,300000
"chr2.30","chr2",1,600000
"chr2.31","chr2",1,600000
"chr2.32","chr2",1,1200000
"chr2.33","chr2",1,600000
"chr2.34","chr2",1,1500000
"chr2.35","chr2",1,2000000
"chr2.36","chr2",1,3000000
"chr2.37","chr2",1,1000000
"chr2.38","chr2",1,900000
"chr2.39","chr2",1,1900000
"chr2.40","chr2",0,900000
"chr2.41","chr2",1,2200000
"chr2.42","chr2",1,1100000
"chr2.43","chr2",1,1400000
"chr2.44","chr2",0.150943396226415,300000
"chr2.45","chr2",0.849056603773585,500000
"chr2.46","chr2",1,400000
"chr2.47","chr2",1,2400000
"chr2.48","chr2",0.486486486486487,500000
"chr2.49","chr2",0.710526315789474,900000
"chr2.50","chr2",1,800000
"chr2.51","chr2",0.617647058823529,700000
"chr2.52","chr2",0.935483870967742,600000
"chr2.53","chr2",1,1300000
"chr2.54","chr2",1,900000
"chr2.55","chr2",1,1100000
"chr2.56","chr2",1,1100000
"chr2.57","chr2",1,2400000
"chr2.58","chr2",0.857142857142857,800000
"chr2.59","chr2",1,4400000
"chr2.60","chr2",0.827956989247312,1000000
"chr2.61","chr2",0.490566037735849,900000
"chr2.62","chr2",0.75,1100000
"chr2.63","chr2",0.915094339622642,700000
"chr2.64","chr2",1,800000
"chr2.65","chr2",0.65,900000
"chr2.66","chr2",0,1000000
"chr2.67","chr2",0,700000
"chr2.68","chr2",0.313725490196078,1000000
"chr2.69","chr2",1,700000
"chr2.70","chr2",1,700000
"chr2.71","chr2",1,2200000
"chr2.72","chr2",1,1100000
"chr2.73","chr2",0.958333333333333,1200000
"chr2.74","chr2",0,300000
"chr2.75","chr2",0,700000
"chr2.76","chr2",0.811594202898551,800000
"chr2.77","chr2",0.188405797101449,700000
"chr2.78","chr2",0,600000
"chr2.79","chr2",0,700000
"chr2.80","chr2",0,400000
"chr2.81","chr2",1,3900000
"chr2.82","chr2",1,1500000
"chr2.83","chr2",0.86046511627907,800000
"chr2.84","chr2",1,900000
"chr2.85","chr2",0.68,600000
"chr2.86","chr2",1,4000000
"chr2.87","chr2",1,1200000
"chr2.88","chr2",0.827956989247312,500000
"chr2.89","chr2",1,600000
"chr2.90","chr2",1,1700000
"chr2.91","chr2",0,1200000
"chr2.92","chr2",1,1600000
"chr2.93","chr2",1,900000
"chr2.94","chr2",1,900000
"chr2.95","chr2",1,1500000
"chr2.96","chr2",0.107692307692308,1000000
"chr2.97","chr2",1,2100000
"chr2.98","chr2",1,2100000
"chr2.99","chr2",1,1700000
"chr2.100","chr2",0.834080717488789,1100000
"chr2.101","chr2",0.165919282511211,900000
"chr2.102","chr2",1,1200000
"chr2.103","chr2",0.807692307692308,1000000
"chr2.104","chr2",0.684210526315789,700000
"chr2.105","chr2",1,1600000
"chr2.106","chr2",1,800000
"chr2.107","chr2",0,700000
"chr2.108","chr2",1,1600000
"chr2.109","chr2",1,1000000
"chr2.110","chr2",1,1900000
"chr2.111","chr2",0.65,800000
"chr2.112","chr2",1,800000
"chr2.113","chr2",1,1200000
"chr2.114","chr2",1,1000000
"chr2.115","chr2",0.428571428571429,400000
"chr2.116","chr2",0.571428571428571,900000
"chr2.117","chr2",0.0384615384615385,800000
"chr2.118","chr2",1,1500000
"chr2.119","chr2",1,600000
"chr2.120","chr2",0.96969696969697,1100000
"chr2.121","chr2",0.195652173913043,1800000
"chr2.122","chr2",0.956521739130435,700000
"chr2.123","chr2",1,400000
"chr2.124","chr2",1,600000
"chr2.125","chr2",1,1000000
"chr2.126","chr2",0.433333333333333,600000
"chr2.127","chr2",1,700000
"chr2.128","chr2",0.8,500000
"chr2.129","chr2",1,1800000
"chr2.130","chr2",1,700000
"chr2.131","chr2",1,1900000
"chr2.132","chr2",0.911111111111111,500000
"chr2.133","chr2",0.0888888888888889,600000
"chr2.134","chr2",1,800000
"chr2.135","chr2",1,600000
"chr2.136","chr2",1,1000000
"chr2.137","chr2",0.896551724137931,700000
"chr2.138","chr2",0.310344827586207,400000
"chr2.139","chr2",1,1100000
"chr2.140","chr2",1,2000000
"chr2.141","chr2",1,1500000
"chr2.142","chr2",1,900000
"chr2.143","chr2",1,900000
"chr2.144","chr2",1,1100000
"chr2.145","chr2",0.277777777777778,700000
"chr2.146","chr2",1,700000
"chr2.147","chr2",1,1300000
"chr2.148","chr2",1,3700000
"chr2.149","chr2",0.705882352941177,600000
"chr2.150","chr2",1,500000
"chr2.151","chr2",0.571428571428571,300000
"chr2.152","chr2",0.653846153846154,600000
"chr2.153","chr2",1,1500000
"chr2.154","chr2",1,900000
"chr2.155","chr2",0.833333333333333,400000
"chr2.156","chr2",1,1100000
"chr2.157","chr2",1,1100000
"chr2.158","chr2",0.275862068965517,700000
"chr2.159","chr2",1,1800000
"chr2.160","chr2",1,1600000
"chr2.161","chr2",1,800000
"chr2.162","chr2",1,900000
"chr2.163","chr2",1,1200000
"chr2.164","chr2",1,2200000
"chr2.165","chr2",1,600000
"chr2.166","chr2",1,2100000
"chr2.167","chr2",0.931818181818182,700000
"chr2.168","chr2",1,1800000
"chr2.169","chr2",1,900000
"chr2.170","chr2",1,2500000
"chr2.171","chr2",1,600000
"chr2.172","chr2",0,300000
"chr2.173","chr2",0.666666666666667,700000
"chr2.174","chr2",1,700000
"chr2.175","chr2",1,700000
"chr2.176","chr2",1,700000
"chr2.177","chr2",1,1400000
"chr2.178","chr2",1,800000
"chr2.179","chr2",1,1800000
"chr2.180","chr2",0.882352941176471,600000
"chr2.181","chr2",1,500000
"chr2.182","chr2",1,800000
"chr2.183","chr2",1,700000
"chr2.184","chr2",0.675,400000
"chr2.185","chr2",1,800000
"chr2.186","chr2",1,1700000
"chr2.187","chr2",1,1200000
"chr2.188","chr2",0.923076923076923,800000
"chr2.189","chr2",0.660377358490566,500000
"chr2.190","chr2",1,1900000
"chr2.191","chr2",1,1200000
"chr2.192","chr2",NA,NA
"chr2.193","chr2",NA,NA
"chr2.194","chr2",NA,NA
"chr2.195","chr2",NA,NA
"chr2.196","chr2",NA,NA
"chr3.1","chr3",0.0227272727272727,500000
"chr3.2","chr3",1,1500000
"chr3.3","chr3",0,1000000
"chr3.4","chr3",0.785714285714286,1100000
"chr3.5","chr3",0.846153846153846,500000
"chr3.6","chr3",1,1800000
"chr3.7","chr3",0.306748466257669,1400000
"chr3.8","chr3",1,600000
"chr3.9","chr3",1,700000
"chr3.10","chr3",1,800000
"chr3.11","chr3",1,700000
"chr3.12","chr3",1,900000
"chr3.13","chr3",1,800000
"chr3.14","chr3",0.952380952380952,1200000
"chr3.15","chr3",1,700000
"chr3.16","chr3",1,600000
"chr3.17","chr3",1,600000
"chr3.18","chr3",1,500000
"chr3.19","chr3",1,900000
"chr3.20","chr3",0.686274509803922,500000
"chr3.21","chr3",1,2500000
"chr3.22","chr3",1,1000000
"chr3.23","chr3",0.409090909090909,700000
"chr3.24","chr3",1,800000
"chr3.25","chr3",1,1600000
"chr3.26","chr3",1,600000
"chr3.27","chr3",0.522727272727273,700000
"chr3.28","chr3",1,1700000
"chr3.29","chr3",1,700000
"chr3.30","chr3",1,1000000
"chr3.31","chr3",0.694444444444444,500000
"chr3.32","chr3",0,600000
"chr3.33","chr3",1,700000
"chr3.34","chr3",1,2100000
"chr3.35","chr3",1,800000
"chr3.36","chr3",1,600000
"chr3.37","chr3",0.707317073170732,600000
"chr3.38","chr3",0.292682926829268,400000
"chr3.39","chr3",0.60655737704918,600000
"chr3.40","chr3",0.790697674418605,800000
"chr3.41","chr3",1,1600000
"chr3.42","chr3",1,700000
"chr3.43","chr3",1,800000
"chr3.44","chr3",1,700000
"chr3.45","chr3",1,700000
"chr3.46","chr3",0.0158730158730159,300000
"chr3.47","chr3",0.968253968253968,600000
"chr3.48","chr3",1,1100000
"chr3.49","chr3",1,1100000
"chr3.50","chr3",1,800000
"chr3.51","chr3",1,600000
"chr3.52","chr3",1,400000
"chr3.53","chr3",1,2900000
"chr3.54","chr3",1,600000
"chr3.55","chr3",1,800000
"chr3.56","chr3",1,1300000
"chr3.57","chr3",1,1500000
"chr3.58","chr3",1,900000
"chr3.59","chr3",1,1000000
"chr3.60","chr3",1,600000
"chr3.61","chr3",1,600000
"chr3.62","chr3",1,1700000
"chr3.63","chr3",0.631578947368421,700000
"chr3.64","chr3",1,2000000
"chr3.65","chr3",1,1000000
"chr3.66","chr3",1,1800000
"chr3.67","chr3",1,600000
"chr3.68","chr3",1,2300000
"chr3.69","chr3",1,1300000
"chr3.70","chr3",0,1200000
"chr3.71","chr3",1,900000
"chr3.72","chr3",1,1900000
"chr3.73","chr3",1,2800000
"chr3.74","chr3",1,1100000
"chr3.75","chr3",0.826086956521739,1000000
"chr3.76","chr3",1,600000
"chr3.77","chr3",0.5,1000000
"chr3.78","chr3",1,1800000
"chr3.79","chr3",0.641666666666667,1000000
"chr3.80","chr3",0.613636363636364,900000
"chr3.81","chr3",1,1100000
"chr3.82","chr3",0,800000
"chr3.83","chr3",0,1200000
"chr3.84","chr3",1,900000
"chr3.85","chr3",0.79746835443038,600000
"chr3.86","chr3",0.22,400000
"chr3.87","chr3",1,900000
"chr3.88","chr3",1,2400000
"chr3.89","chr3",0.102803738317757,1500000
"chr3.90","chr3",0,1100000
"chr3.91","chr3",0,500000
"chr3.92","chr3",1,1400000
"chr3.93","chr3",0,600000
"chr3.94","chr3",1,2500000
"chr3.95","chr3",0.862068965517241,400000
"chr3.96","chr3",1,600000
"chr3.97","chr3",1,1000000
"chr3.98","chr3",1,1800000
"chr3.99","chr3",1,900000
"chr3.100","chr3",1,2100000
"chr3.101","chr3",1,400000
"chr3.102","chr3",1,1700000
"chr3.103","chr3",0.794117647058823,1000000
"chr3.104","chr3",0.878048780487805,700000
"chr3.105","chr3",0.631578947368421,1100000
"chr3.106","chr3",0.466666666666667,600000
"chr3.107","chr3",0.533333333333333,500000
"chr3.108","chr3",1,800000
"chr3.109","chr3",1,800000
"chr3.110","chr3",1,2100000
"chr3.111","chr3",0.692307692307692,400000
"chr3.112","chr3",1,900000
"chr3.113","chr3",1,900000
"chr3.114","chr3",1,1200000
"chr3.115","chr3",1,1100000
"chr3.116","chr3",1,1000000
"chr3.117","chr3",1,1300000
"chr3.118","chr3",1,1600000
"chr3.119","chr3",1,1200000
"chr3.120","chr3",1,500000
"chr3.121","chr3",1,800000
"chr3.122","chr3",1,2800000
"chr3.123","chr3",1,2200000
"chr3.124","chr3",1,1000000
"chr3.125","chr3",1,1300000
"chr3.126","chr3",1,800000
"chr3.127","chr3",1,600000
"chr3.128","chr3",0,400000
"chr3.129","chr3",1,1300000
"chr3.130","chr3",1,1700000
"chr3.131","chr3",1,500000
"chr3.132","chr3",1,800000
"chr3.133","chr3",1,1400000
"chr3.134","chr3",1,1200000
